ID  CCSD_ene
	-108.0398799394182
1	-22.91888178415503
2	-22.77252267323842
3	-22.96506528571293
4	-177.1149972475355
5	-18.66974599455923
6	-141.1320090388135
7	-18.26024810469056
8	-18.21630872698595
9	-156.2956597552258
10	-154.2822050137861
11	-111.2937225522016
12	-21.08503248153595
13	-21.02959819648262
14	-167.4798025861481
15	-149.996428946788
16	-167.3377412401087
17	-25.93753251752535
18	-186.8134538854517
19	-23.22455699389123
20	-135.6861271205188
21	-17.80188918279559
22	-17.81422919842285
23	-154.8567940197061
24	-17.63943530644496
25	-89.69547547348907
26	-17.80745434288804
27	-17.86022246538181
28	-17.8151729882392
29	-89.93746795093941
30	-17.94642641193767
31	-17.8771391970264
32	-17.78857047143047
33	-167.0045849721053
34	-149.5273175210693
35	-155.707668346366
36	-25.79461459270788
37	-183.4343181152778
38	-17.62460467874904
39	-123.4677271829871
40	-17.86419877205368
41	-17.83573410901915
42	-192.5169355836853
43	-151.5789083545857
44	-17.37041993585766
45	-171.3699760284463
46	-17.49522197051807
47	-191.6510826105749
48	-122.7044536118464
49	-23.98835439566138
50	-172.0741691060915
51	-17.56361907882811
52	-140.5211820739984
53	-17.61342211382314
54	-178.1661992964096
55	-150.1476878755426
56	-156.2599198009651
57	-25.63289282182858
58	-186.047430549143
59	-23.49609029769418
60	-166.1411914383083
61	-17.55085423902862
62	-89.46537863797701
63	-17.70137913255222
64	-17.78173996313858
65	-17.73151539295812
66	-123.9537999390343
67	-17.5926377186288
68	-17.52713375988084
69	-89.04402706651773
70	-17.6534636381537
71	-17.73195861707333
72	-17.70091071984878
73	-179.9731284496199
74	-150.5622576604605
75	-156.0734359186667
76	-25.42323066961012
77	-185.4065804723575
78	-17.56079332940709
79	-123.6031669266061
80	-17.43911639691482
81	-17.61007720747448
82	-128.5130552219121
83	-17.75817914909503
84	-17.68889507906282
85	-156.1798168437296
86	-151.2795090814125
87	-111.1166367215366
88	-21.17234962624898
89	-21.09994377281082
90	-178.5799324035526
91	-149.0558998890925
92	-154.0878876396847
93	-24.96321231780962
94	-184.7924273680368
95	-23.00360943384272
96	-123.051505829359
97	-17.55032261427679
98	-17.55779406257064
99	-180.6468124497781
100	-153.6845025501598
101	-17.48043183926685
102	-163.7186030459198
103	-25.22886287834745
104	-201.1373633344287
105	-151.3840224866453
106	-17.34747526314967
107	-148.369987918383
108	-17.13498820049369
109	-148.5401381049224
110	-17.11933870150924
111	-148.4662937300489
112	-17.09623274366103
113	-196.6148794352661
114	-178.4435143274478
115	-147.5265281490645
116	-153.8133298390535
117	-25.34000279424756
118	-181.8885383594664
119	-22.32719056460811
120	-121.7563858625818
121	-17.1421155326589
122	-17.20368055572006
123	-152.8672359997722
124	-17.08600450422728
125	-88.39337563516158
126	-17.43392326757527
127	-17.48269868897849
128	-17.4680860125499
129	-88.67692057539632
130	-17.47215717114375
131	-17.47860402533059
132	-17.31503339739495
133	-175.3483269034055
134	-146.8334173869509
135	-163.6160825932437
136	-24.77352793878181
137	-182.5137206378027
138	-17.00752406106083
139	-112.2700924398457
140	-17.22783409837179
141	-17.24195524916652
142	-112.7281068790578
143	-17.13350400373048
144	-17.08801181030513
145	-123.8647909885118
146	-17.0346000685198
147	-17.02065933984032
148	-116.9665281782055
149	-17.25103659634769
150	-17.21925056637697
151	-94.78514226248251
152	-19.94630320837586
153	-19.91513698380357
154	-175.867817604208
155	-148.0264040882084
156	-152.2031181026733
157	-24.22542560742211
158	-167.8170421785707
159	-21.58521659031552
160	-144.921998509681
161	-20.717782080128
162	-15.72224182703024
163	-151.564978582295
164	-137.6871297892475
165	-137.6169671414754
166	-175.8806174020504
167	-131.9575160568377
168	-151.7305076083804
169	-24.13092831510308
170	-139.1874455547614
171	-17.06203165867772
172	-16.99092670349644
173	-163.9536897350873
174	-147.462127920422
175	-152.7916653630345
176	-24.68489963050819
177	-142.1084423971215
178	-17.55359772546219
179	-22.89860238754072
180	-177.4067477030005
181	-146.6053675535804
182	-201.0013309500612
183	-140.2360194915314
184	-17.53491773278888
185	-17.37165975150707
186	-126.3428613052124
187	-17.58097085446671
188	-17.52234079643793
189	-125.8886906204056
190	-17.31246350113221
191	-17.34636588683232
192	-186.4823743724245
193	-23.88027846472813
194	-179.7671668723763
195	-149.9041609138939
196	-167.8273550673958
197	-24.75854060060303
198	-199.2372087787484
199	-17.16591475448368
200	-132.0650390814974
201	-17.63504968646017
202	-17.47235723736391
203	-112.5932511115978
204	-23.21104076328688
205	-163.7853234849366
206	-148.2672904305944
207	-151.8959061518903
208	-24.37807354162304
209	-186.0921870471287
210	-17.09162625936234
211	-131.6779385955952
212	-17.21450758748229
213	-16.90765740818145
214	-120.1510560457768
215	-28.64752480470929
216	-177.6602929985104
217	-148.4083021319719
218	-154.5475511415427
219	-25.0623895536621
220	-142.3040630412195
221	-17.38282842792347
222	-17.3454110560002
223	-166.1430642217387
224	-149.5794700225529
225	-154.559362247307
226	-25.12780178683228
227	-184.8432252235081
228	-22.51556797689188
229	-124.068441110853
230	-17.47398422873054
231	-22.29010015565727
232	-124.982710452503
233	-17.63013723678372
234	-17.75741868064815
235	-128.5196535391933
236	-18.24478222241735
237	-18.15429198385496
238	-159.6248213284499
239	-21.42594993989543
240	-160.7128947779196
241	-123.6421561133777
242	-21.91253920168819
243	-22.09361753797546
244	-123.5341474411039
245	-22.15681718797776
246	-22.17481748861224
247	-176.3360876737821
248	-148.0111264313021
249	-201.2090140100322
250	-130.7004878546759
251	-17.84717743448499
252	-24.59917463426775
253	-128.4682610449008
254	-17.73236203527959
255	-17.76842060764383
256	-126.0812653976506
257	-17.6539912772489
258	-17.65463416931996
259	-187.6825855609545
260	-22.8572497386573
261	-164.8448496613301
262	-149.3613862064826
263	-201.0531557887756
264	-129.3630983960947
265	-24.36512836931658
266	-17.52893570418028
267	-125.4565761469444
268	-17.46753002744249
269	-17.29038680164594
270	-125.6619529652097
271	-17.48079016446311
272	-17.47191447645802
273	-187.6457804981081
274	-22.70417664533479
275	-178.441163310513
276	-148.5944691414712
277	-201.7521099680496
278	-128.8037697983093
279	-17.53645465778542
280	-23.05349937928366
281	-126.5693245918254
282	-17.47521676537404
283	-17.40684967763675
284	-125.8161666591957
285	-17.67709505632244
286	-17.67874011685985
287	-187.765316143413
288	-23.67438635625003
289	-164.7896624128534
290	-148.032639515236
291	-152.6266539402544
292	-25.45749450114894
293	-197.9499107308727
294	-22.32767221241826
295	-129.9834010702903
296	-17.0383017584377
297	-24.5062221639344
298	-120.1177998516201
299	-28.52484964262354
300	-166.8835151906082
301	-139.2131036965077
302	-139.2642142922199
