ID  CCSD_ene
	-118.3616761089201
1	-23.30219376024099
2	-23.20695363335758
3	-28.76419800781726
4	-192.0257741200105
5	-18.92915090869504
6	-142.4659197542089
7	-18.60120209450102
8	-18.69682100117491
9	-157.873229776394
10	-153.2824665993829
11	-111.8789233226719
12	-21.54536966041064
13	-21.41864124984677
14	-169.1960439412836
15	-152.1494937328361
16	-158.7166032072942
17	-21.03666806932228
18	-174.9090773699608
19	-18.14584209168741
20	-136.0157591120654
21	-17.87405966746345
22	-17.86332873659788
23	-154.5130416513571
24	-17.5378798337616
25	-90.04801179333577
26	-18.03343031648909
27	-17.97177443579661
28	-17.97949944945454
29	-89.63003202150001
30	-17.87450647949805
31	-17.84806985624761
32	-17.86485611545994
33	-166.6850451079016
34	-150.1945315270946
35	-155.5882209504787
36	-26.61784024368358
37	-184.4992327119294
38	-17.50490833467899
39	-133.3364335773982
40	-17.70207894242992
41	-17.68108252815522
42	-190.1898337880282
43	-137.2887106006235
44	-17.15469270895717
45	-181.3214703332989
46	-17.37545578672206
47	-189.4931170373942
48	-121.5016871154506
49	-23.47499199389027
50	-169.2016588441113
51	-17.21626265413587
52	-137.7777139549436
53	-17.3639646453162
54	-166.8945342856272
55	-150.6998432376643
56	-156.2076974049931
57	-26.22343202929535
58	-184.5104341837886
59	-23.1047910857429
60	-164.6327294425716
61	-17.24176744536799
62	-88.53739095296228
63	-17.44867477464775
64	-17.49562817056119
65	-17.56283734047772
66	-124.9067879543313
67	-17.7053630432148
68	-17.59877702611203
69	-81.2823605539338
70	-17.83194535904622
71	-17.79921883524361
72	-17.79556992286155
73	-165.3609561434007
74	-147.5490617980359
75	-155.3637802568366
76	-26.50899526981161
77	-185.9088848436388
78	-17.31779283621079
79	-123.6617731203687
80	-17.61394503359101
81	-17.59000486900841
82	-127.968688332768
83	-17.46153653182413
84	-17.512751347183
85	-155.7789043766058
86	-152.2843142607869
87	-110.7232196082395
88	-20.76943826045857
89	-20.67770182844083
90	-166.6432225633539
91	-153.5511366594837
92	-155.4072989419453
93	-26.39486522160816
94	-182.1515688530392
95	-17.01345698572196
96	-121.8824010060867
97	-17.3186942243074
98	-17.3098217797203
99	-168.1573708007844
100	-160.783755454514
101	-17.44398558765035
102	-167.5457203035437
103	-20.2386375611241
104	-200.0374874335937
105	-150.0764043921517
106	-17.12161945300116
107	-147.273108420094
108	-16.89108761824306
109	-148.0712231672894
110	-16.98999137889752
111	-147.8879101430651
112	-16.97866161963541
113	-196.7103980167454
114	-163.8094174181499
115	-148.0035762231364
116	-154.0421161618901
117	-25.94366984038153
118	-182.9695861291344
119	-22.25287154365065
120	-133.6922718056373
121	-17.2263544470829
122	-17.21005366253106
123	-153.0262408077273
124	-17.1759129255444
125	-88.61265924654144
126	-17.40710554280581
127	-17.39096121008089
128	-17.4111467777677
129	-89.1410296877114
130	-17.50478867741231
131	-17.4505461058577
132	-17.49985405587986
133	-163.6586670157344
134	-147.4291939555664
135	-153.7333369606887
136	-26.18759494281778
137	-183.6072687407303
138	-16.87687098461004
139	-122.8221030522447
140	-17.20089684293623
141	-17.18747737137202
142	-122.8622001973273
143	-17.14851934780737
144	-17.07977997189828
145	-123.7165319605515
146	-17.25075171112287
147	-17.26371480463921
148	-116.5494466740818
149	-24.13247298181338
150	-17.24338171161169
151	-103.1188836903035
152	-19.92092266865976
153	-19.87006520057735
154	-163.6851957727828
155	-148.4447792746576
156	-153.1160798596561
157	-24.68280439567697
158	-182.581210961249
159	-21.62242035688535
160	-149.8289107546848
161	-16.17534741251852
162	-16.18359007762973
163	-154.0800420138619
164	-138.8045978741249
165	-138.8253952448449
166	-163.0770452930311
167	-148.4228949175187
168	-152.3621381756491
169	-24.01252108109771
170	-139.5423651185331
171	-16.96812075859564
172	-16.84297532938535
173	-164.753446225633
174	-134.8456634933726
175	-144.1638670968222
176	-25.36247267154797
177	-151.822473051015
178	-22.44759802547678
179	-17.38933854336689
180	-163.3213281536295
181	-147.687655425029
182	-198.707060231937
183	-139.0066899844747
184	-23.89998928984327
185	-22.63513219019206
186	-126.2474947480462
187	-17.30762238161336
188	-17.27815358992122
189	-124.9751194265458
190	-17.42226634691731
191	-17.48053050644262
192	-184.8564307435918
193	-22.87212530897668
194	-164.5078183789306
195	-149.456233859556
196	-156.0022623239169
197	-25.48361448984072
198	-187.1827345090592
199	-23.41643237033759
200	-134.0519786139465
201	-25.06030241671044
202	-25.17600568699002
203	-112.4777277905628
204	-23.48501973636674
205	-165.1891477277925
206	-149.7762549894044
207	-154.400644902438
208	-25.40338068783997
209	-198.8051310999817
210	-16.98468233622936
211	-132.1265196096521
212	-25.10699545555039
213	-25.19236688312983
214	-112.4336114468272
215	-23.33880224443798
216	-165.6408012438459
217	-150.3084586666724
218	-154.6911481638454
219	-24.88913073639708
220	-143.6638612833128
221	-17.7328698393888
222	-17.59328141569801
223	-167.2660587079874
224	-149.8837922791667
225	-156.3270801448495
226	-26.56580050721918
227	-184.1989793051247
228	-22.49535571003581
229	-124.4214437363545
230	-17.63155139783979
231	-17.6188921303095
232	-114.5121485600937
233	-17.98590417235712
234	-17.92102186629182
235	-130.0863006754892
236	-18.38933195264476
237	-18.47900957731295
238	-160.8889020794017
239	-21.67691831307723
240	-161.8674064423685
241	-124.356971374119
242	-28.18794151289706
243	-22.23450357694498
244	-124.5932356342798
245	-22.37442818699546
246	-22.35860071241899
247	-163.1317592713274
248	-147.353579079709
249	-199.898995094289
250	-130.5118219981211
251	-17.6743811863643
252	-24.37250752087644
253	-127.0968651668071
254	-17.4597942831467
255	-17.49787184464697
256	-124.5901244909078
257	-17.05161885929707
258	-17.09333587583746
259	-186.2120279767622
260	-22.58939676552294
261	-177.1365584355585
262	-147.4785187177143
263	-199.1627825408302
264	-139.9553395012867
265	-17.08884780227164
266	-17.003228759693
267	-125.3574746937773
268	-17.11642545944754
269	-17.070140342428
270	-123.9323081160114
271	-16.98433122823223
272	-16.92605348079184
273	-198.3459772654737
274	-22.38423529054154
275	-163.0798462921023
276	-147.7886853450646
277	-199.2137874243903
278	-137.9942330409239
279	-23.4202427757224
280	-22.55851679760726
281	-124.4778715281585
282	-16.94379649298701
283	-16.91950849499505
284	-123.4964305763074
285	-16.92666421922182
286	-16.96723982093212
287	-184.8446483523335
288	-17.13734877903056
289	-176.5765626465535
290	-146.4601373312972
291	-165.9506594150094
292	-24.22925383734814
